Algorithm Sequence,Algorithm Name,Dataset,MSE,RMSE,MAE,R²
3,Polynomial Regression,Training Set,1.773174976306061e-29,4.2109084249198075e-15,2.760678283913276e-15,1.0
2,Log-transformed Linear Regression,Training Set,0.00664723809063128,0.08153059603996085,0.05754307515822865,0.9575930280557506
1,Linear Regression,Training Set,302796129.37949866,17401.038169589156,11868.68248746338,0.9525903867822976
